time_of_info,count_to_r,count_to_l,count_to_b,count_to_t,count_stuck_middle,count_stuck_to_r,count_stuck_to_l,count_stuck_to_b,count_stuck_to_t,is_jam_next_l,is_jam_next_r,is_jam_next_t,is_jam_next_b,is_green_horizontal,is_green_vertical,y
405,2,8,0,2,0,0,0,0,0,0,0,0,0,0,1,2
405,0,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1
405,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
405,1,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1
405,4,5,1,0,0,0,0,0,0,0,0,0,0,0,1,2
420,4,8,0,2,0,0,0,0,0,0,0,0,0,1,0,2
420,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,1
420,2,3,1,1,0,0,0,0,0,0,0,0,0,1,0,2
420,1,0,6,6,0,0,0,0,0,0,0,0,0,1,0,1
420,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,2
435,2,3,0,3,0,0,0,0,0,0,0,0,0,1,0,2
435,0,3,1,5,0,0,0,0,0,0,0,0,0,1,0,1
435,1,3,1,3,0,0,0,0,0,0,0,0,0,1,0,1
435,1,0,6,7,0,0,0,0,0,0,0,0,0,1,0,1
435,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1
450,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,2
450,0,5,2,4,0,0,0,0,0,0,0,0,0,0,1,1
450,1,2,5,1,0,0,0,0,0,0,0,0,0,0,1,1
450,1,0,3,8,0,0,0,0,0,0,0,0,0,0,1,1
450,2,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1
465,3,6,0,1,0,0,0,0,0,0,0,0,0,0,1,2
465,0,5,2,1,0,0,0,0,0,0,0,0,0,0,1,2
465,1,2,4,3,0,0,0,0,0,0,0,0,0,0,1,1
465,3,0,1,7,0,0,0,0,0,0,0,0,0,0,1,1
465,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2
480,3,5,0,2,0,0,0,0,0,0,0,0,0,1,0,2
480,0,5,3,2,0,0,0,0,0,0,0,0,0,1,0,1
480,2,3,3,1,0,0,0,0,0,0,0,0,0,1,0,2
480,1,0,2,8,0,0,0,0,0,0,0,0,0,1,0,1
480,4,1,3,0,0,0,0,0,0,0,0,0,0,1,0,2
495,1,2,0,4,0,0,0,0,0,0,0,0,0,1,0,1
495,0,1,5,3,0,0,0,0,0,0,0,0,0,1,0,1
495,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,1
495,1,0,2,8,0,0,0,0,0,0,0,0,0,1,0,1
495,1,1,5,0,0,0,0,0,0,0,0,0,0,1,0,1
510,2,1,0,4,0,0,0,0,0,0,0,0,0,0,1,1
510,0,3,4,5,0,0,0,0,0,0,0,0,0,0,1,1
510,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1
510,1,0,1,8,0,0,0,0,0,0,0,0,0,0,1,1
510,1,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1
525,4,5,0,1,0,0,0,0,0,0,0,0,0,0,1,2
525,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,2
525,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
525,4,0,1,6,0,0,0,0,0,0,0,0,0,0,1,1
525,2,5,1,0,0,0,0,0,0,0,0,0,0,0,1,2
540,6,5,0,1,0,0,0,0,0,0,0,0,0,0,1,2
540,0,6,1,1,0,0,0,0,0,0,0,0,0,0,1,2
540,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2
540,5,0,1,3,0,0,0,0,0,0,0,0,0,0,1,2
540,5,5,1,0,0,0,0,0,0,0,0,0,0,0,1,2
555,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,2
555,0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,1
555,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
555,1,0,4,5,0,0,0,0,0,0,0,0,0,1,0,1
555,6,5,1,0,0,0,0,0,0,0,0,0,0,1,0,2
570,3,2,0,2,0,0,0,0,0,0,0,0,0,1,0,2
570,0,1,7,3,0,0,0,0,0,0,0,0,0,1,0,1
570,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1
570,1,0,8,7,0,0,0,0,0,0,0,0,0,1,0,1
570,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2
585,5,5,0,1,0,0,0,0,0,0,0,0,0,0,1,2
585,0,3,4,1,0,0,0,0,0,0,0,0,0,0,1,1
585,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1
585,1,0,4,9,0,0,0,0,0,0,0,0,0,0,1,1
585,8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
600,6,7,0,2,0,0,0,0,0,0,0,0,0,0,1,2
600,0,2,3,2,0,0,0,0,0,0,0,0,0,0,1,1
600,1,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1
600,1,0,3,8,0,0,0,0,0,0,0,0,0,0,1,1
600,7,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2
615,5,7,0,3,0,0,0,0,0,0,0,0,0,1,0,2
615,0,1,5,3,0,0,0,0,0,0,0,0,0,1,0,1
615,1,3,1,2,0,0,0,0,0,0,0,0,0,1,0,2
615,1,0,2,9,0,0,0,0,0,0,0,0,0,1,0,1
615,9,2,2,0,0,0,0,0,0,0,0,0,0,1,0,2
630,3,5,0,4,0,0,0,0,0,0,0,0,0,1,0,2
630,0,2,6,3,0,0,0,0,0,0,0,0,0,1,0,1
630,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1
630,2,0,6,8,0,0,0,0,0,0,0,0,0,1,0,1
630,9,1,3,0,0,0,0,0,0,0,0,0,0,1,0,2
645,2,3,0,2,0,0,0,0,0,0,0,0,0,0,1,2
645,0,2,7,2,0,0,0,0,0,0,0,0,0,0,1,1
645,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1
645,1,0,4,9,0,0,0,0,0,0,0,0,0,0,1,1
645,12,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2
660,4,6,0,1,0,0,0,0,0,0,0,0,0,0,1,2
660,0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,1
660,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1
660,2,0,1,7,0,0,0,0,0,0,0,0,0,0,1,1
660,12,3,2,0,0,0,0,0,0,0,0,0,0,0,1,2
675,5,6,0,1,0,0,0,0,0,0,0,0,0,1,0,2
675,0,2,5,2,0,0,0,0,0,0,0,0,0,1,0,1
675,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
675,2,0,2,5,0,0,0,0,0,0,0,0,0,1,0,1
675,12,3,3,0,0,0,0,0,0,0,0,0,0,1,0,2
690,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0,2
690,0,2,6,3,0,0,0,0,0,0,0,0,0,1,0,1
690,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
690,1,0,7,6,0,0,0,0,0,0,0,0,0,1,0,1
690,10,1,3,0,0,0,0,0,0,0,0,0,0,1,0,2
705,3,4,0,1,0,0,0,0,0,0,0,0,0,1,0,2
705,0,1,7,6,0,0,0,0,0,0,0,0,0,1,0,1
705,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,1
705,1,0,8,6,0,0,0,0,0,0,0,0,0,1,0,1
705,6,2,3,0,0,0,0,0,0,0,0,0,0,1,0,2
720,2,6,0,1,0,0,0,0,0,0,0,0,0,0,1,2
720,0,1,8,1,0,0,0,0,0,0,0,0,0,0,1,1
720,1,1,2,5,0,0,0,0,0,0,0,0,0,0,1,1
720,1,0,4,6,0,0,0,0,0,0,0,0,0,0,1,1
720,7,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2
735,5,6,0,1,0,0,0,0,0,0,0,0,0,0,1,2
735,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1,1
735,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1
735,1,0,1,8,0,0,0,0,0,0,0,0,0,0,1,1
735,8,7,1,0,0,0,0,0,0,0,0,0,0,0,1,2
