time_of_info,tls_id,count_to_r,count_to_l,count_to_b,count_to_t,count_stuck_middle,count_stuck_to_r,count_stuck_to_l,count_stuck_to_b,count_stuck_to_t,is_jam_next_l,is_jam_next_r,is_jam_next_t,is_jam_next_b,is_green_horizontal,is_green_vertical,y,jams_count,jams_time,jams_car_count
2400,C1,20,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2410,A1,2,20,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2410,B0,0,3,19,1,0,0,0,0,0,0,0,0,0,0,1,1,3,11,21
2410,B1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1,31,198,49
2410,B2,1,0,1,20,0,0,0,0,0,0,0,0,0,0,1,1,4,62,4
2410,C1,20,5,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2420,A1,2,20,0,2,0,0,0,0,0,0,0,0,0,1,0,2,3,5,4
2420,B0,0,2,19,1,0,0,0,0,0,0,0,0,0,1,0,1,3,11,21
2420,B1,3,1,2,1,0,0,0,0,0,0,0,0,0,1,0,2,31,198,49
2420,B2,2,0,1,19,0,0,0,0,0,0,0,0,0,1,0,1,5,68,5
2420,C1,20,5,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,9,2
2430,A1,2,20,0,3,0,0,0,0,0,0,0,0,0,1,0,2,3,5,4
2430,B0,0,1,19,2,0,0,0,0,0,0,0,0,0,1,0,1,3,11,21
2430,B1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,31,198,49
2430,B2,2,0,2,19,0,0,0,0,0,0,0,0,0,1,0,1,5,68,5
2430,C1,20,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,9,2
2440,A1,1,20,0,3,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2440,B0,0,1,20,3,0,0,0,0,0,0,0,0,0,0,1,1,3,11,21
2440,B1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,31,198,49
2440,B2,1,0,2,20,0,0,0,0,0,0,0,0,0,0,1,1,5,68,5
2440,C1,20,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2450,A1,2,20,0,3,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2450,B0,0,2,20,1,0,0,0,0,0,0,0,0,0,0,1,1,3,11,21
2450,B1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,31,198,49
2450,B2,1,0,1,19,0,0,0,0,0,0,0,0,0,0,1,1,5,68,5
2450,C1,20,4,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2460,A1,2,20,0,2,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2460,B0,0,4,18,3,0,0,0,0,0,0,0,0,0,0,1,1,3,11,21
2460,B1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,31,198,49
2460,B2,2,0,1,17,0,0,0,0,0,0,0,0,0,0,1,1,5,68,5
2460,C1,20,4,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2470,A1,1,20,0,3,0,0,0,0,0,0,0,0,0,1,0,2,3,5,4
2470,B0,0,1,19,4,0,0,0,0,0,0,0,0,0,1,0,1,3,11,21
2470,B1,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,32,199,50
2470,B2,1,0,1,18,0,0,0,0,0,0,0,0,0,1,0,1,6,72,6
2470,C1,20,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,9,2
2480,A1,1,18,0,3,0,0,0,0,0,0,0,0,0,1,0,2,3,5,4
2480,B0,0,1,20,6,0,0,0,0,0,0,0,0,0,1,0,1,3,11,21
2480,B1,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,32,199,50
2480,B2,2,0,4,19,0,0,0,0,0,0,0,0,0,1,0,1,6,72,6
2480,C1,19,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,9,2
2490,A1,1,18,0,2,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2490,B0,0,2,20,4,0,0,0,0,0,0,0,0,0,0,1,1,3,11,21
2490,B1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,32,199,50
2490,B2,3,0,2,20,0,0,0,0,0,0,0,0,0,0,1,1,6,72,6
2490,C1,20,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2500,A1,2,18,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2500,B0,0,1,20,1,0,0,0,0,0,0,0,0,0,0,1,1,3,11,21
2500,B1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,32,199,50
2500,B2,4,0,2,19,0,0,0,0,0,0,0,0,0,0,1,1,6,72,6
2500,C1,20,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2510,A1,1,20,0,3,0,0,0,0,0,0,0,0,0,1,0,2,3,5,4
2510,B0,0,1,20,2,0,0,0,0,0,0,0,0,0,1,0,1,3,11,21
2510,B1,2,1,1,3,0,0,0,0,0,0,0,0,0,1,0,1,32,199,50
2510,B2,3,0,1,18,0,0,0,0,0,0,0,0,0,1,0,1,6,72,6
2510,C1,20,2,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,9,2
2520,A1,1,19,0,3,0,0,0,0,0,0,0,0,0,1,0,2,3,5,4
2520,B0,0,1,20,3,0,0,0,0,0,0,0,0,0,1,0,1,3,11,21
2520,B1,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2,32,199,50
2520,B2,2,0,2,18,0,0,0,0,0,0,0,0,0,1,0,1,6,72,6
2520,C1,19,3,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,9,2
2530,A1,1,17,0,3,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2530,B0,0,1,20,4,0,0,0,0,0,0,0,0,0,0,1,1,3,11,21
2530,B1,5,3,1,1,0,0,0,0,0,0,0,0,0,0,1,2,32,199,50
2530,B2,3,0,2,20,0,0,0,0,0,0,0,0,0,0,1,1,6,72,6
2530,C1,16,3,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2540,A1,3,18,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2540,B0,0,2,20,1,0,0,0,0,0,0,0,0,0,0,1,1,3,11,21
2540,B1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,1,2,32,199,50
2540,B2,3,0,3,19,0,0,0,0,0,0,0,0,0,0,1,1,6,72,6
2540,C1,17,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2550,A1,2,20,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2550,B0,0,3,18,1,0,0,0,0,0,0,0,0,0,0,1,1,3,11,21
2550,B1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,1,2,32,199,50
2550,B2,3,0,2,18,0,0,0,0,0,0,0,0,0,0,1,1,6,72,6
2550,C1,19,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2560,A1,2,20,0,2,0,0,0,0,0,0,0,0,0,1,0,2,3,5,4
2560,B0,0,1,19,2,0,0,0,0,0,0,0,0,0,1,0,1,3,11,21
2560,B1,2,1,2,2,0,0,0,0,0,0,0,0,0,1,0,1,32,199,50
2560,B2,1,0,2,19,0,0,0,0,0,0,0,0,0,1,0,1,6,72,6
2560,C1,20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,9,2
2570,A1,3,17,0,3,0,0,0,0,0,0,0,0,0,1,0,2,3,5,4
2570,B0,0,1,19,1,0,0,0,0,0,0,0,0,0,1,0,1,3,11,21
2570,B1,1,2,2,2,0,0,0,0,0,0,0,0,0,1,0,1,32,199,50
2570,B2,1,0,4,20,0,0,0,0,0,0,0,0,0,1,0,1,6,72,6
2570,C1,19,1,3,0,0,0,0,0,0,0,0,0,0,1,0,2,2,9,2
2580,A1,1,17,0,2,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2580,B0,0,3,20,1,0,0,0,0,0,0,0,0,0,0,1,1,3,11,21
2580,B1,3,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,32,199,50
2580,B2,1,0,2,20,0,0,0,0,0,0,0,0,0,0,1,1,6,72,6
2580,C1,19,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2590,A1,2,18,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2590,B0,0,4,18,1,0,0,0,0,0,0,0,0,0,0,1,1,3,11,21
2590,B1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,32,199,50
2590,B2,2,0,1,20,0,0,0,0,0,0,0,0,0,0,1,1,6,72,6
2590,C1,19,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2600,A1,4,20,0,1,0,0,0,0,0,0,0,0,0,1,0,2,3,5,4
2600,B0,0,4,17,1,0,0,0,0,0,0,0,0,0,1,0,1,3,11,21
2600,B1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,32,199,50
2600,B2,3,0,1,19,0,0,0,0,0,0,0,0,0,1,0,1,6,72,6
2600,C1,20,5,2,0,0,0,0,0,0,0,0,0,0,1,0,2,2,9,2
2610,A1,3,20,0,2,0,0,0,0,0,0,0,0,0,1,0,2,3,5,4
2610,B0,0,1,19,1,0,0,0,0,0,0,0,0,0,1,0,1,3,11,21
2610,B1,3,2,2,1,0,0,0,0,0,0,0,0,0,1,0,2,32,199,50
2610,B2,1,0,3,19,0,0,0,0,0,0,0,0,0,1,0,1,6,72,6
2610,C1,20,1,3,0,0,0,0,0,0,0,0,0,0,1,0,2,2,9,2
2620,A1,1,19,0,2,0,0,0,0,0,0,0,0,0,1,0,2,3,5,4
2620,B0,0,1,20,2,0,0,0,0,0,0,0,0,0,1,0,1,3,11,21
2620,B1,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,32,199,50
2620,B2,1,0,3,20,0,0,0,0,0,0,0,0,0,1,0,1,6,72,6
2620,C1,17,3,3,0,0,0,0,0,0,0,0,0,0,1,0,2,2,9,2
2630,A1,1,19,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2630,B0,0,1,20,4,0,0,0,0,0,0,0,0,0,0,1,1,3,11,21
2630,B1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,32,199,50
2630,B2,2,0,1,20,0,0,0,0,0,0,0,0,0,0,1,1,6,72,6
2630,C1,18,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2640,A1,3,19,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2640,B0,0,2,20,2,0,0,0,0,0,0,0,0,0,0,1,1,3,11,21
2640,B1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,32,199,50
2640,B2,3,0,2,18,0,0,0,0,0,0,0,0,0,0,1,1,6,72,6
2640,C1,19,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2650,A1,1,19,0,1,0,0,0,0,0,0,0,0,0,1,0,2,3,5,4
2650,B0,0,2,20,2,0,0,0,0,0,0,0,0,0,1,0,1,3,11,21
2650,B1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,33,203,51
2650,B2,2,0,1,18,0,0,0,0,0,0,0,0,0,1,0,1,6,72,6
2650,C1,20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,9,2
2660,A1,1,19,0,2,0,0,0,0,0,0,0,0,0,1,0,2,3,5,4
2660,B0,0,1,20,5,0,0,0,0,0,0,0,0,0,1,0,1,3,11,21
2660,B1,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,33,203,51
2660,B2,1,0,2,18,0,0,0,0,0,0,0,0,0,1,0,1,6,72,6
2660,C1,19,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,9,2
2670,A1,2,17,0,2,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2670,B0,0,1,20,5,0,0,0,0,0,0,0,0,0,0,1,1,3,11,21
2670,B1,1,2,2,4,0,0,0,0,0,0,0,0,0,0,1,1,33,203,51
2670,B2,1,0,2,20,0,0,0,0,0,0,0,0,0,0,1,1,6,72,6
2670,C1,18,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2680,A1,2,18,0,2,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2680,B0,0,1,20,4,0,0,0,0,0,0,0,0,0,0,1,1,3,11,21
2680,B1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,1,1,33,203,51
2680,B2,2,0,2,20,0,0,0,0,0,0,0,0,0,0,1,1,6,72,6
2680,C1,18,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2690,A1,3,20,0,2,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2690,B0,0,1,19,2,0,0,0,0,0,0,0,0,0,0,1,1,3,11,21
2690,B1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,33,203,51
2690,B2,3,0,2,19,0,0,0,0,0,0,0,0,0,0,1,1,6,72,6
2690,C1,20,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2700,A1,1,19,0,2,0,0,0,0,0,0,0,0,0,1,0,2,3,5,4
2700,B0,0,1,20,3,0,0,1,0,0,0,0,0,0,1,0,2,4,31,21
2700,B1,1,1,1,2,0,0,0,0,0,1,0,0,0,1,0,1,33,203,51
2700,B2,3,0,1,19,0,0,0,0,0,0,0,0,0,1,0,1,6,72,6
2700,C1,19,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,9,2
2710,A1,1,19,0,2,0,0,0,0,0,0,0,0,0,1,0,2,3,5,4
2710,B0,0,1,20,4,0,0,1,0,0,0,0,0,0,1,0,2,4,51,21
2710,B1,1,2,2,2,0,0,0,0,0,1,0,0,0,1,0,1,33,203,51
2710,B2,1,0,2,19,0,0,0,0,0,0,0,0,0,1,0,1,6,72,6
2710,C1,17,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,9,2
2720,A1,2,18,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2720,B0,0,1,20,2,0,0,0,0,0,0,0,0,0,0,1,1,4,59,22
2720,B1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,33,203,51
2720,B2,3,0,3,20,0,0,0,0,0,0,0,0,0,0,1,1,6,72,6
2720,C1,18,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,9,2
2730,A1,4,20,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,5,4
2730,B0,0,2,20,2,0,0,0,0,0,0,0,0,0,0,1,1,4,59,22
